"id","date","yday","species","plotGroup","locality","Status","Description Where Found","Notes","Building_side","paired"
88,2023-10-07,280,"Evening","Evening","150 E 12th St","Alive","On ground next to building","Ambient T <45F, admitted to rehab","E","N"
89,2023-10-09,282,"Evening","Evening","1100 Main St","Alive","On ground between wall and column","Taken to rehab, ambient T <50F","N","N"
90,2023-10-09,282,"Evening","Evening","1200 Main St","Alive","On ground against wall","Taken to rehab for warming and observation. Ambient T <50F","N","N"
91,2023-10-09,282,"Evening","Evening","1100 Walnut","Alive","On ground against wall","Taken to rehab for warming and observation.","E","N"
92,2023-10-10,283,"Evening","Evening","Crossroads","Alive","In between column and wall","#2 of 2 together, blue paint washed off by rehab staff","W","Y"
93,2023-10-10,283,"Evening","Evening","KC Star","Alive","On ground against wall","Pavement too hot, observed in that location since morning.","W","Y"
94,2023-10-15,288,"Big brown","Big brown","KC Star","Alive","On ground agaist wall","Captured and sent to rehab","W","N"
95,2023-10-15,288,"Eastern Red","Eastern Red","Downtown KC","Alive","On pavement next to building","Wet","N","N"
96,2023-10-16,289,"Evening","Evening","1100 Main St","Alive","On ground at base of pillar",NA,"W","N"
97,2023-10-20,293,"Evening","Evening","1407 Grand","Alive","On ground against glass wall","Rehabbed, rehydrated, released","W","N"
98,2023-10-20,293,"Evening","Evening","Downtown KC","Alive","On ground ~1 ft from a pillar",NA,"W","N"
99,2023-10-23,296,"Silver-haired","Others","951 Baltimore","Alive","Window ledge ~3ft off ground",NA,"W","N"
100,2023-10-23,296,"Silver-haired","Others","1000 Walnut","Alive","On the wall ~8ft up","Uninjured, spent several weeks in the same location","W","N"
101,2023-10-28,301,"Big brown","Big brown","Downtown KC","Alive","On the side of a bench, off the ground","Ambient T <35 F","E","N"
102,2023-11-01,305,"Evening","Evening","1201 Walnut","Alive","Against wall","Ambient T <30 F","W","N"
103,2023-11-09,313,"Big brown","Big brown","221 E 12th St","Alive","Behind drain pipe against wall","Observed by building personnel several weeks ago. Not sick or injured. Overnight T 44F","E","N"
104,2023-12-02,336,"Big brown","Big brown","Town Pavilion","Alive","In a corner against wall","22g, ambient T <40F","E","N"
105,2023-12-02,336,"Evening","Evening","2345 Grand","Alive","On the side of a bench, off the ground","13g, ambient T <40F","E","N"
106,2024-01-27,27,"Big brown","Big brown","1050 Walnut St","Dead",NA,NA,"E","N"
107,2024-04-27,118,"Eastern Red","Eastern Red","120 W 12th St","Alive",NA,NA,"W","N"
108,2024-04-30,121,"Evening","Evening","2345 Grand Boulevard","Alive",NA,NA,"S","N"
109,2024-05-04,125,"Evening","Evening","2345 Grand Boulevard","Alive",NA,NA,"S","N"
110,2024-05-04,125,"Vespertilionidae","Others","1200 Main Street","Dead",NA,NA,"W","N"
111,2024-05-12,133,"Vespertilionidae","Others","1100 Main","Dead",NA,NA,"W","N"
112,2024-09-28,272,"Evening","Evening","1101 Main","Alive",NA,NA,"W","N"
113,2024-09-28,272,"Evening","Evening","1101 Main","Alive",NA,NA,"N","Y"
114,2024-09-28,272,"Evening","Evening","1101 Main","Alive",NA,NA,"N","Y"
115,2024-09-28,272,"Evening","Evening","1101 Main","Alive",NA,NA,"E","N"
116,2024-09-29,273,"Evening","Evening","1101 Main","Alive",NA,NA,"N","N"
117,2024-10-04,278,"Evening","Evening","120 W. 12th St.","Alive",NA,NA,"S","N"
118,2024-10-07,281,"Evening","Evening","2323 McGee","Alive",NA,NA,"E","N"
119,2024-10-07,281,"Evening","Evening","1100 Walnut St #130,   64106,","Alive",NA,NA,"E","N"
120,2024-10-07,281,"Evening","Evening","1200 Main","Alive",NA,NA,"N","N"
121,2024-10-07,281,"Evening","Evening","1100 Main","Alive",NA,NA,"N","Y"
122,2024-10-07,281,"Vespertilionidae","Others","1100 Main","Alive",NA,NA,"N","Y"
123,2024-10-07,281,"Evening","Evening","151 W 10th St.","Alive",NA,NA,"N","N"
124,2024-10-13,287,"Evening","Evening","2345 Grand","Alive",NA,NA,"S","N"
125,2024-10-13,287,"Evening","Evening","1100 Walnut St #130,   64106,","Alive",NA,NA,"E","N"
126,2024-10-14,288,"Evening","Evening","1100 Main","Alive",NA,NA,"W","N"
127,2024-10-30,304,"Big brown","Big brown","2345 Grand","Alive",NA,NA,"E","N"
128,2024-10-30,304,"Evening","Evening","1100 Main","Alive",NA,NA,"N","N"
129,2024-11-04,309,"Vespertilionidae","Others","1100 Walnut","Alive",NA,NA,"S","N"
130,2024-11-04,309,"Eastern Red","Eastern Red","1000 Walnut","Alive",NA,NA,"N","N"
132,2025-04-23,113,"Evening","Evening","1100 Main","Alive","East side of NE corner of building","This record was created April 2025.  10 g.  Worked with Director on species ID and photography but bat was too little.","E","N"
