"id","url","notes","scientific_name","common_name","description","user_login","observed_on","license","family_name","adm0_a3","continent"
247485034,"https://www.inaturalist.org/observations/247485034","","Lasiurus borealis","Eastern Red Bat","Live rescue. Convention Center Charles St lobby windows.","jessicalanda","45580","CC-BY-NC","Vespertilionidae","USA","North America"
248055273,"https://www.inaturalist.org/observations/248055273","","Lasionycteris noctivagans","Silver-haired Bat","(handled safely, without any contact; taken to licensed bat rehabber)","cmcrae","45584","CC-BY-NC","Vespertilionidae","USA","North America"
251189940,"https://www.inaturalist.org/observations/251189940","","Lasiurus borealis","Eastern Red Bat","Window collision at Gather 500 East Main St. The bat was taken to Rehab","pescanlon2","45606","CC-BY-NC","Vespertilionidae","USA","North America"
251352272,"https://www.inaturalist.org/observations/251352272","rehabber confirmed """"possible window strike""""","Eptesicus fuscus","Big Brown Bat","On sidewalk no attempt to move or fly for 24+ hours. Was taken to licensed rehabber who confirmed it is a bbb and possible window strike.","asoulunbound","45604","CC-BY-NC","Vespertilionidae","USA","North America"
252183775,"https://www.inaturalist.org/observations/252183775","wet bat on grate; location suggests window strike","Vespertilionidae","Evening Bats","","aegolius99","45614","CC-BY-NC","Vespertilionidae","CAN","North America"
260110037,"https://www.inaturalist.org/observations/260110037","","Lasionycteris noctivagans","Silver-haired Bat","Found near the dorms, poor guy probably flew into one of the windows :(. It was responsive enough to grab a stick so we could move it but I think it was close to death :( ","issrasy","45687","CC-BY-NC","Vespertilionidae","CAN","North America"
266742529,"https://www.inaturalist.org/observations/266742529","","Nyctophilus gouldi","Gould's Long-eared Bat","Gouldii, Micro bat, had flown into a window, taken for vet assessment,  time in care, released at rescue site.","annotate","44979","CC-BY-NC","Vespertilionidae","AUS","Oceania"
267947671,"https://www.inaturalist.org/observations/267947671","","Lasiurus borealis","Eastern Red Bat","Dead. Window collision at 500 E. Main st. Gather building back side. The 4th bay we’ve found there","pescanlon2","2025-03-31","CC-BY-NC","Vespertilionidae","USA","North America"
268405412,"https://www.inaturalist.org/observations/268405412","","Tadarida brasiliensis","Mexican Free-tailed Bat","","skyler_nix","45749","CC-BY-NC","Molossidae","USA","North America"
268405635,"https://www.inaturalist.org/observations/268405635","","Tadarida brasiliensis","Mexican Free-tailed Bat","Decomposing","skyler_nix","45749","CC-BY-NC","Molossidae","USA","North America"
268930036,"https://www.inaturalist.org/observations/268930036","","Lasionycteris noctivagans","Silver-haired Bat","Icon plaza. Exhausted? Able to fly but hit another window when it took off. Couldnâ€™t reach it on ledge.","pescanlon2","45753","CC-BY-NC","Vespertilionidae","USA","North America"
272967932,"https://www.inaturalist.org/observations/272967932","","Lasiurus borealis","Eastern Red Bat","S side of 2 Hopkins, window collision rescue","birddad","45772","CC-BY-NC","Vespertilionidae","USA","North America"
272977049,"https://www.inaturalist.org/observations/272977049","","Lasiurus borealis","Eastern Red Bat","100 E Pratt, W side, window collision rescue","birddad","45772","CC-BY-NC","Vespertilionidae","USA","North America"
277018443,"https://www.inaturalist.org/observations/277018443","","Lasiurus borealis","Eastern Red Bat","Window collision, Gather, 500 E. Main St., flew off but kept hitting more windows, last seen on roof over Townebank door","pescanlon2","45777","CC-BY-NC","Vespertilionidae","USA","North America"
278882322,"https://www.inaturalist.org/observations/278882322","","Lasiurus borealis","Eastern Red Bat","","mbartn13","2025-05-05","CC-BY-NC","Vespertilionidae","USA","North America"
281749987,"https://www.inaturalist.org/observations/281749987","","Lasiurus borealis","Eastern Red Bat","was able to flap off while I was rummaging around for a work glove","cmcrae","45794","CC-BY-NC","Vespertilionidae","USA","North America"
283924697,"https://www.inaturalist.org/observations/283924697","","Lasiurus borealis","Eastern Red Bat","retrieved without contact, taken to licensed rehabilitator","cmcrae","45802","CC-BY-NC","Vespertilionidae","USA","North America"
284625435,"https://www.inaturalist.org/observations/284625435","","Lasiurus borealis","Eastern Red Bat","Window collision stunned, but released ","pescanlon2","2025-05-27","CC-BY-NC","Vespertilionidae","USA","North America"
288762399,"https://www.inaturalist.org/observations/288762399","","Vespertilionidae","Evening Bats","deceased, likely window collision","barca_h","2025-06-09","CC-BY-NC","Vespertilionidae","USA","North America"
291738919,"https://www.inaturalist.org/observations/291738919","","Lasiurus borealis","Eastern Red Bat","","cmcrae","2025-06-22","CC-BY-NC","Vespertilionidae","USA","North America"
294605696,"https://www.inaturalist.org/observations/294605696","","Lasiurus borealis","Eastern Red Bat","","lisa777666","2025-05-26","CC-BY-NC","Vespertilionidae","USA","North America"
