month_start,n_effort,cell_id
2023-12-01,9257,292
2024-01-01,8725,292
2024-02-01,7509,292
2024-03-01,14533,292
2024-04-01,14090,292
2024-05-01,16846,292
2024-06-01,10552,292
2024-07-01,8248,292
2024-08-01,9318,292
2024-09-01,9964,292
2024-10-01,14358,292
2024-11-01,11176,292
2024-12-01,10701,292
2025-01-01,10792,292
2025-02-01,11867,292
2025-03-01,20029,292
2025-04-01,19041,292
2025-05-01,19610,292
2025-06-01,16410,292
2025-07-01,13186,292
2025-08-01,11402,292
2025-09-01,13250,292
2025-10-01,23505,292
2025-11-01,14246,292
2025-12-01,12914,292
2019-01-01,556,304
2019-02-01,435,304
2019-03-01,1130,304
2019-04-01,1473,304
2019-05-01,1380,304
2019-06-01,1272,304
2019-07-01,4264,304
2019-08-01,3663,304
2019-09-01,2287,304
